"Longitude","Latitude","Date","Survey_Type"
-77.01064,38.93245,2017-04-30,"transect"
-77.01827,38.95766,2015-11-21,"transect"
-77.04757,38.92081,2011-04-15,"transect"
-77.04492,38.93281,2013-02-11,"transect"
-77.0217,38.94942,2016-02-06,"transect"
-77.03401,38.9282,2015-11-14,"transect"
-77.06004,38.9128,2016-12-03,"transect"
-77.02232,38.90771,2012-09-18,"transect"
-77.03604,38.91511,2020-02-24,"transect"
-77.02856,38.94287,2014-03-16,"transect"
-77.01064,38.94772,2016-02-02,"transect"
-77.05147,38.92541,2012-02-04,"transect"
-77.03199,38.91996,2014-10-11,"transect"
-77.04305,38.93414,2015-12-02,"transect"
-77.00752,38.95002,2014-04-12,"transect"
-77.01827,38.94869,2019-06-09,"transect"
-77.01609,38.94057,2016-07-03,"transect"
-77.00674,38.95196,2015-07-26,"transect"
-77.03775,38.91147,2012-06-19,"transect"
-77.05443,38.91596,2018-10-05,"transect"
-77.00767,38.94917,2018-09-16,"transect"
-77.03791,38.92541,2011-07-31,"transect"
-77.06004,38.9139,2014-10-24,"transect"
-77.01562,38.91911,2012-05-13,"transect"
-77.03728,38.94142,2015-03-25,"transect"
-77.03838,38.91572,2014-12-28,"transect"
-77.06269,38.91086,2013-02-07,"transect"
-77.03199,38.9202,2017-02-02,"transect"
-77.00923,38.94154,2010-10-20,"transect"
-77.0351,38.92772,2017-07-05,"transect"
-77.04695,38.92954,2014-03-27,"transect"
-77.03495,38.90638,2013-10-14,"transect"
-77.00689,38.95196,2017-04-16,"transect"
-77.00736,38.93487,2019-07-07,"transect"
-77.01562,38.94833,2015-12-20,"transect"
-77.02606,38.93281,2010-11-20,"transect"
-77.03261,38.9236,2015-07-28,"transect"
-77.03697,38.90965,2013-04-02,"transect"
-77.01812,38.94202,2015-10-08,"transect"
-77.00705,38.95014,2014-11-27,"transect"
-77.04134,38.92663,2019-06-25,"transect"
-77.03869,38.9128,2016-12-01,"transect"
-77.04118,38.91584,2011-01-09,"transect"
-77.0231,38.91584,2015-07-13,"transect"
-77.05489,38.91523,2013-06-22,"transect"
-77.02497,38.93366,2018-05-12,"transect"
-77.01204,38.94299,2018-04-07,"transect"
-77.00892,38.94542,2014-02-28,"transect"
-77.00627,38.95293,2015-04-19,"transect"
-77.05552,38.91487,2016-10-05,"transect"
-77.01593,38.95511,2019-03-09,"transect"
-77.01749,38.94457,2014-07-12,"transect"
-77.02809,38.91244,2010-05-23,"transect"
-77.05895,38.91474,2014-11-02,"transect"
